-    49  -    18  -    49  
-    12  -   758  -    55  
     24  - 1,499  -    59  
     62  - 2,239  -    65  
     98  - 2,980  -    71  
    135  - 3,721  -    77  
    173  - 4,461  -    81  
    210  - 5,201  -    87  
    246  - 5,940  -    93  
    284  - 6,679  -    99  
    321  - 7,417  -   104  
    360  - 8,156  -   110  
    398  - 8,894  -   115  
    435  - 9,631  -   121  
    473  -10,366  -   127  
    512  -11,103  -   132  
    559  -11,836  -   138  
    597  -12,570  -   144  
    638  -13,303  -   150  
    678  -14,032  -   156  
    717  -14,762  -   161  
-    49  -    17  -    47  
-    86      724  -    41  
-   124    1,463  -    37  
-   161    2,202  -    32  
-   199    2,944  -    26  
-   236    3,683  -    20  
-   274    4,424  -    16  
-   313    5,163  -    10  
-   350    5,904  -    04  
-   388    6,643       01  
-   426    7,383       07  
-   464    8,121       11  
-   503    8,857       17  
-   540    9,594       23  
-   579   10,330       29  
-   617   11,065       35  
-   657   11,799       41  
-   696   12,532       45  
-   734   13,264       51  
-   773   13,992       57  
-   814   14,722       63  
