-    31       32  -    01  
    703       36  -    31  
  1,437       42  -    64  
  2,171       46  -    95  
  2,906       50  -   126  
  3,640       54  -   157  
  4,374       58  -   190  
  4,374       58  -   188  
  5,107       64  -   219  
  5,839       68  -   252  
  6,572       72  -   283  
  7,303       76  -   314  
  8,035       80  -   345  
  8,765       84  -   377  
  9,495       90  -   409  
 10,224       94  -   439  
 10,953       98  -   472  
 11,679      104  -   503  
 12,403      108  -   534  
 13,128      112  -   565  
 13,850      117  -   596  
 14,571      121  -   627  
-    26       34       01  
-   761       28       33  
- 1,495       24       65  
- 2,229       20       96  
- 2,964       16      127  
- 3,698       12      158  
- 4,430       08      189  
- 5,163       04      220  
- 5,896  -    01      253  
- 6,629  -    05      284  
- 7,360  -    09      315  
- 8,092  -    14      347  
- 8,822  -    18      378  
- 9,550  -    23      409  
-10,280  -    27      440  
-11,008  -    31      471  
-11,733  -    35      502  
-12,459  -    39      534  
-13,182  -    43      565  
-13,905  -    46      596  
-14,625  -    52      629  
